date,time,inttime,B,A
20240315,33000000,330,125.192927251986,125.629266243442
20240315,34500000,345,126.561251528512,125.629266243442
20240315,40000000,400,125.627312747247,125.629266243442
20240315,41500000,415,125.724139570675,125.629266243442
20240315,43000000,430,126.46225781827,125.629266243442
20240315,44500000,445,126.553800599135,125.629266243442
20240315,50000000,500,126.007757037829,125.629266243442
20240315,51500000,515,125.555287812787,125.629266243442
20240315,53000000,530,125.260548648375,125.629266243442
20240315,54500000,545,126.067910450927,125.629266243442
20240315,60000000,600,125.085510415907,125.629266243442
20240315,61500000,615,125.976105900432,125.629266243442
20240315,63000000,630,125.955116492181,125.629266243442
20240315,64500000,645,126.459600794546,125.629266243442
20240315,70000000,700,126.895809816147,125.629266243442
20240315,71500000,715,126.128244087051,125.629266243442
20240315,73000000,730,126.457764156114,125.629266243442
20240315,74500000,745,125.88497490105,125.629266243442
20240315,80000000,800,126.636092912357,125.629266243442
20240315,81500000,815,125.408650310195,125.629266243442
20240315,83000000,830,126.652362723786,125.629266243442
20240315,84500000,845,126.844166456207,125.629266243442
20240315,90000000,900,125.549518511116,125.629266243442
20240315,91500000,915,127.269253404296,126.2300582554695
20240315,93000000,930,127.426547826197,126.830850267497
20240315,94500000,945,127.909564754111,127.141603583077
20240315,100000000,1000,129.366021176852,128.664860207087
20240315,101500000,1015,128.756624207443,127.886016993176
20240315,103000000,1030,128.070005945257,127.201627950866
20240315,104500000,1045,129.76637226242,128.955802023054
20240315,110000000,1100,128.839585608472,128.084647208919
20240315,111500000,1115,128.99471833949,128.073892164404
20240315,113000000,1130,129.002834198961,128.197382644536
20240315,114500000,1145,128.590044809225,127.771385025378
20240315,120000000,1200,129.711886640711,128.7397656334
20240315,121500000,1215,130.688840654594,129.634084108681
20240315,123000000,1230,130.394034565806,129.343502023079
20240315,124500000,1245,129.635748186774,128.43681089505
20240315,130000000,1300,130.616934293951,129.59053016601
20240315,131500000,1315,131.087957559582,130.151525258052
20240315,133000000,1330,129.734049292334,128.883102731171
20240315,134500000,1345,129.626529968177,128.771769652359
20240315,140000000,1400,130.205104314315,129.40150768507
20240315,141500000,1415,130.785165993173,129.866559789983
20240315,143000000,1430,130.70130779819,129.731256807582
20240315,144500000,1445,130.426168020439,129.483904637183
20240315,150000000,1500,130.373353582337,129.507697239663
20240315,151500000,1515,131.980931366674,131.053350426294
20240315,153000000,1530,130.28974556278,129.516178070963
20240315,154500000,1545,130.536785550049,129.516178070963
20240315,160000000,1600,130.647799640555,129.516178070963
20240315,161500000,1615,130.383354025117,129.516178070963
20240315,163000000,1630,131.170019743915,129.516178070963
20240315,164500000,1645,131.07366881401,129.516178070963
20240315,170000000,1700,131.435357667047,129.516178070963
20240315,171500000,1715,130.747506828083,129.516178070963
20240315,173000000,1730,131.091245943744,129.516178070963
20240315,174500000,1745,131.118903472646,129.516178070963
20240315,180000000,1800,131.234677190081,129.516178070963
20240315,181500000,1815,130.7513187287,129.516178070963
20240315,183000000,1830,131.015312885344,129.516178070963
20240315,184500000,1845,131.669716210775,129.516178070963
20240315,190000000,1900,131.711753131123,129.516178070963
20240315,191500000,1915,131.501860447722,129.516178070963
20240315,193000000,1930,131.563585549882,129.516178070963
20240315,194500000,1945,131.002186078663,129.516178070963
20240315,200000000,2000,130.852121374916,129.516178070963
20240315,201500000,2015,131.096817632114,129.516178070963
20240315,203000000,2030,131.736837509025,129.516178070963
20240315,204500000,2045,131.354694380855,129.516178070963
20240315,210000000,2100,131.47389153763,129.516178070963
20240315,211500000,2115,131.322264011738,129.516178070963
20240315,213000000,2130,131.041313140004,129.516178070963
20240315,214500000,2145,131.345189893696,129.516178070963
20240315,220000000,2200,131.290911861801,129.516178070963
20240315,221500000,2215,131.237225818815,129.516178070963
20240315,223000000,2230,131.628001866559,129.516178070963
20240315,224500000,2245,131.184233995811,129.516178070963
20240315,230000000,2300,131.623996629831,129.516178070963
20240315,231500000,2315,131.668426942094,129.516178070963
20240315,233000000,2330,131.991673064228,129.516178070963
20240315,234500000,2345,131.833021345852,129.516178070963
20240318,0,0,131.173140655575,129.516178070963
20240318,1500000,15,131.614682515921,129.516178070963
20240318,3000000,30,131.300145444764,129.516178070963
20240318,4500000,45,132.560589293787,129.516178070963
20240318,10000000,100,132.668070532685,129.516178070963
20240318,11500000,115,132.331452440308,129.516178070963
20240318,13000000,130,132.73533437478,129.516178070963
20240318,14500000,145,132.523039556878,129.516178070963
20240318,20000000,200,131.50795960317,129.516178070963
20240318,21500000,215,132.407807492023,129.516178070963
20240318,23000000,230,131.096429159237,129.516178070963
20240318,24500000,245,132.891177447351,129.516178070963
20240318,30000000,300,131.071849856829,129.516178070963
20240318,31500000,315,132.252150669066,129.516178070963
20240318,33000000,330,132.651089391975,129.516178070963
